,question,context,company,source_file,source_page,kpi_id,year,answer,data_type,relevant_paragraphs,annotator,label
0,What is the company name?, Enova is a state enterprise owned by the Ministry of Climate and ,Cabot Oil & Gas Corp,Cabot Oil & Gas Corp Annual Report 2018.pdf,[3],0.0,2018,Cabot Oil & Gas Corporation,TEXT,"[""Cabot Oil & Gas Corporation, headquartered in Houston, Texas, is an independent oil and gas producer. The Company's focused operations are centered around developing its natural gas resources in northeast Pennsylvania.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
1,What is the company name?, IPCC (2018): Global Warming of 1.5 C IPCC (2019): Climate Change and Land IPCC (2019): Special Report on the Ocean and Cryosphere in a Changing Climate,OMV,Sustainability Report 2014_EN.pdf,[77],0.0,2014,OMV Aktiengesellschaft,TEXT,"[""Owner and publisher OMV Aktiengesellschaft Head Office TrabrennstraÃŸe 6-8 1020 Vienna, Austria info.sustainability@omv.com""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
2,What is the company name?,1 The US national hydraulic fracturing chemical registry.,Lundin Energy AB,ar_2019_e.pdf,[1],0.0,2019,Lundin Petroleum,TEXT,"[""Lundin Petroleum ""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
3,What is the company name?,2019 Serious incident frequency (SIF - per million hours worked),"Aktsionernoe Obshchestvo Rosneftegaz, Moscow",annual 2015.pdf,[1],0.0,2015,Rosneft,TEXT,"[""ROSNEFT""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
4,What is the company name?,"A Delaware corporation formed in 1971 and publicly held since 1988, Devon (NYSE: DVN) is an independent energy company engaged primarily in the exploration, development and production of oil, natural gas and NGLs. Our operations are concentrated in various North American onshore areas in the U.S. and Canada. In July 2018, we exited the midstream business by divesting our aggregate ownership interests in EnLink and the General Partner.",Devon,NYSE_DVN_2018.pdf,[6],0.0,2018,Devon,TEXT,"[""A Delaware corporation formed in 1971 and publicly held since 1988, Devon (NYSE: DVN) is an
independent energy company engaged primarily in the exploration, development and production of oil, natural gas
and NGLs. Our operations are concentrated in various North American onshore areas in the U.S. and Canada. In
July 2018, we exited the midstream business by divesting our aggregate ownership interests in EnLink and the
General Partner.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
5,What is the company name?,"A key player in the energy transition, EDF group is an integrated energy company, active in all areas of the business: generation, transmission, distribution, trading, energy supply and energy services. As a global leader in low-carbon energy, the Group has developed a diversified generation mix based on nuclear power, thermal energy, hydropower and other renewable energies.",EDF,EDF-ddr-2018-en.pdf,[3],0.0,2018,EDF Group,TEXT,"[""A key player in the energy transition, EDF group is an integrated energy company, active in all areas of the business: generation, transmission, distribution, trading, energy supply and energy services. As a global leader in low-carbon energy, the Group has developed a diversified generation mix based on nuclear power, thermal energy, hydropower and other renewable energies.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
6,What is the company name?,"A particular challenge is the invasive sun coral, which is currently spreading along the Brazilian coastline and competing with native coral species. To control the presence of this invasive species in the Peregrino field, a risk tool has been developed to assess the potential of vessels operating in the field spreading corals, so that relevant mitigating actions can be taken. ",Ameren Corporation,Ameren Corporation Climate Risk Report 2019.pdf,[1],0.0,2019,Ameren,TEXT,"[""Ameren""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,0
7,What is the company name?,AKER BP ASA,Aker BP,AKERBP-Annual-Report-2017.pdf,[1],0.0,2017,Aker BP,TEXT,"[""AKER BP ASA""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
8,What is the company name?,About the Company NOVATEK is one of the largest independent natural gas producers in Russia,NOVATEK,04_NOVATEK_AR_2016_ENG_11.pdf,[3],0.0,2016,NOVATEK,TEXT,"[""About the Company NOVATEK is one of the largest independent natural gas producers in Russia""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
9,What is the company name?,"About this report This report covers the operations of OMV Group, headquartered in Vienna, Austria, for the 2016 business year.",OMV,Sustainability Report 2016_EN.pdf,[2],0.0,2016,OMV Group,TEXT,"[""About this report This report covers the operations of OMV Group, headquartered in Vienna, Austria, for the 2016 business year.""]",20201030 1Qbit aggregated_annotations_needs_correction.xlsx,1
